Albert_Schweitzer,阿尔伯特·史怀哲
Beer_in_Sweden,Beer_in_Sweden
Suprême_sauce,Suprême_sauce
Soup_alla_modenese,Soup_alla_modenese
Soup_all'Imperatrice,Soup_all'Imperatrice
Soup_alla_Canavese,Soup_alla_Canavese
Sweet_tea,甜茶
Cuisine_of_the_Southern_United_States,Cuisine_of_the_Southern_United_States
Coat_of_arms_of_South_Africa,南非国徽
Sukkot,住棚節
Smelt_(fish),胡瓜魚科
Spaghetti_code,面条式代码
Small_beer,Small_beer
Scotch_whisky,蘇格蘭威士忌
Spaghetti_Western,意大利式西部片
Spaghetti,意大利粉
Sambuca,珊布卡
Sardinia,撒丁岛
Scansano,斯坎萨诺
Tea,茶
Turmeric,薑黃
Taco,墨西哥夹饼
Taiwanese_cuisine,台灣菜
Thai_cuisine,泰國飲食
Trajan,圖拉真
Tiramisu,提拉米蘇
Tex-Mex,Tex-Mex
Tomato_sauce,番茄沙司
Theobromine,可可碱
Twiglets,Twiglets
Tapas,塔帕斯
Tabasco_sauce,塔巴斯科辣椒醬
Turkish_cuisine,土耳其饮食
Eighteenth_Amendment_to_the_United_States_Constitution,美國憲法第十八修正案
Vermouth,威末酒
Vietnamese_cuisine,越南菜
Vegemite,维吉麦
Vegetarian_cuisine,Vegetarian_cuisine
Victoria_Bitter,Victoria_Bitter
Vanilla,Vanilla
Wine,葡萄酒
Whisky,威士忌
Wasabi,山葵
Wok,炒鍋
Worcestershire_sauce,辣醬油
Yarra_Valley,Yarra_Valley
Mick_Fleetwood,Mick_Fleetwood
Magic_Johnson,魔术师约翰逊
Wheat,小麦
Cappuccino,卡布奇诺
Bread,麵包
Rice,稻
Salmon,鮭魚
Barbecue,燒烤
KFC,肯德基
Strasbourg,斯特拉斯堡
Pizza_Hut,必胜客
Taco_Bell,塔可鐘
Chardonnay,莎当妮
List_of_wine-producing_regions,List_of_wine-producing_regions
U-Boot_(beer_cocktail),U-Boot_(beer_cocktail)
Cabernet_Sauvignon,赤霞珠
Blancmange,Blancmange
Mead,蜂蜜酒
Fallopia_japonica,虎杖
Newcastle_Brown_Ale,Newcastle_Brown_Ale
Ramen,日本拉面
Millet,Millet
Yorkshire_pudding,約克郡布甸
Nutmeg,肉豆蔻
Panettone,意大利麵包
Banana,香蕉
Cooking_banana,大蕉
Bamboo,竹亚科
Peter_Schickele,彼德·施格勒
Chinese_food_therapy,食療
Proso_millet,黍
Bangers_and_mash,Bangers_and_mash
Tequila,龍舌蘭酒
Syrah,西拉葡萄
Eleusine_coracana,穇子
Adnams_Brewery,Adnams_Brewery
Acetic_acid_bacteria,Acetic_acid_bacteria
Wrigley_Field,瑞格利球场
William_Hale_Thompson,William_Hale_Thompson
Cannoli,奶油甜馅煎饼卷
Adalbert_of_Magdeburg,Adalbert_of_Magdeburg
Pistachio,开心果
William_Jennings_Bryan,威廉·詹宁斯·布莱恩
Meissen,迈森
Bix_Beiderbecke,畢克斯·拜德貝克
John_Dillinger,约翰·迪林杰
Saint_Valentine's_Day_Massacre,情人節大屠殺
Victor_Davis_Hanson,Victor_Davis_Hanson
Wiesbaden,威斯巴登
McLibel_case,麥誹謗案
European_Court_of_Human_Rights,欧洲人权法院
Guar,瓜尔
Nutella,能多益
Scoville_scale,史高維爾指標
O._Henry,欧·亨利
Gales_Brewery,Gales_Brewery
Eldridge_Pope,Eldridge_Pope
Elizabeth_Cady_Stanton,Elizabeth_Cady_Stanton
Moulin_Rouge,红磨坊
Lager_Beer_Riot,Lager_Beer_Riot
Veneto,威尼托大区
Lombardy,伦巴第大区
Shallot,火葱
Casu_marzu,卡蘇馬蘇
Brillat-Savarin_cheese,布瑞拉特·薩伐侖芝士
Port_Salut,波特撒魯特芝士
Bourbon_whiskey,波本威士忌
Calabria,卡拉布里亚大区
Apulia,普利亚大区
Sicilian_cuisine,西西里飲食
Frutta_martorana,Frutta_martorana
Mortadella,意式肉腸
Azadirachta_indica,印度苦楝樹
Campania,坎帕尼亚大区
Cagliari,卡利亚里
Marsala_wine,玛萨拉酒
Madeira_wine,马德拉酒
Brandy,白兰地
Gérard_Depardieu,傑哈·德巴狄厄
Pane_carasau,Pane_carasau
Eggplant,茄
Horseradish,辣根
Hamburger,漢堡包
Richard_Burton,理查德·伯顿
Karl_Brandt,Karl_Brandt
Fish_and_chips,炸鱼薯条
Long_John_Silver's,海滋客
Flounder,Flounder
Chowder,巧達濃湯
Portable_soup,Portable_soup
Asparagus,芦笋
Herring_soup,Herring_soup
Arthur_Treacher's,Arthur_Treacher's
Sashimi,刺身
Passover_Seder,逾越節晚餐
Shemini_Atzeret,Shemini_Atzeret
Scotch_broth,Scotch_broth
Corn_soup,Corn_soup
Clam_soup,Clam_soup
Chicken_soup,雞湯
Fish_sauce,魚露
Apple_sauce,蘋果醬
Frumenty,Frumenty
Bread_pudding,Bread_pudding
Oat,燕麦
Rye,裸麥
Turnip,芜菁
Humulus,葎草屬
Kinder_Surprise,健達出奇蛋
Puff_pastry,酥皮
Mince_pie,Mince_pie
Perch,Perch
Catfish,鮎形目
7-Eleven,7-Eleven
Paella,西班牙大鍋飯
Espresso,濃縮咖啡
Alsace,阿尔萨斯
Ice_cream,冰淇淋
Kava,卡瓦胡椒
Walleye,玻璃梭鱸
Wuppertal,伍珀塔尔
Das_Rheingold,萊茵的黃金
Fortune_cookie,幸运饼干
American_bison,美洲野牛
Sugar_beet,糖用甜菜
Utrecht,乌得勒支
Billie_Holiday,比莉·荷莉戴
Garlic,蒜
Enchilada,Enchilada
Eugene_V._Debs,尤金·V·德布斯
Sinclair_Lewis,辛克莱·刘易斯
Peach,桃
Onion,洋蔥
Coconut,椰
Heinrich_Anton_de_Bary,Heinrich_Anton_de_Bary
Rhineland,莱茵兰
Daniel_Webster,丹尼尔·韦伯斯特
Sweet_potato,番薯
Plantago,车前属
Amphora,双耳瓶
Mountain_Dew,激浪
Citrus,柑橘属
Rum_Rebellion,Rum_Rebellion
Georges-Eugène_Haussmann,喬治-歐仁·奧斯曼
Orange_juice,橙汁
Braising,烧 (炖煮法)
Berry,Berry
Deep_frying,炸
Grilling,炙烤
Smoking_(cooking),熏
Double_steaming,Double_steaming
Stir_frying,炒
Malpighia_emarginata,Malpighia_emarginata
Saffron,番紅花
Quinoa,藜麥
Cinnamon,桂皮
Gruyère_cheese,格呂耶爾芝士
Dorset_Blue_Vinney,Dorset_Blue_Vinney
Champagne,香槟酒
Champagne_(wine_region),Champagne_(wine_region)
Manchego,曼徹格芝士
Lorenz_Hart,勞倫茲·哈特
Rubus,悬钩子属
Breadfruit,麵包樹
Miller_Brewing_Company,Miller_Brewing_Company
Cocoa_bean,可可豆
7_Up,七喜
Cadbury,吉百利
RC_Cola,皇冠可樂
Subway_(restaurant),赛百味
Root_beer,根汁汽水
Cherry,樱
Savoy_Ballroom,Savoy_Ballroom
Tonkatsu,吉列豬排
Ginger,薑
Goldwasser,Goldwasser
Bunge_Limited,Bunge_Limited
Fragaria,草莓属
Cabbage,捲心菜
Peanut,花生
Volstead_Act,Volstead_Act
Vienna,維也納
Sorghum,高粱屬
Flour,麵粉
Rhubarb,大黄
Bavaria_Brewery_(Netherlands),Bavaria_Brewery_(Netherlands)
Mango,芒果
Arnhem,阿纳姆
Cassava,木薯
Calamondin,Calamondin
Apricot,Apricot
Plum,李亚属
Pineapple,菠蘿
Copra,椰子核
Taro,Taro
Lettuce,莴苣
Dessert_wine,甜點酒
Chickpea,鹰嘴豆
"Clinton_County,_Kentucky",克林頓縣 (肯塔基州)
Rambutan,红毛丹
Drupe,核果
Tapioca,Tapioca
Sago,西米
Erythronium,猪牙花属
Einkorn_wheat,一粒小麦
Palm_oil,棕櫚油
Cake,蛋糕
Helianthus_annuus,向日葵
Yakima_River,Yakima_River
Charlie_and_the_Chocolate_Factory,查理與巧克力工廠
Kudzu,Kudzu
Theobroma_cacao,可可樹
Jaffas,Jaffas
Winter_wheat,Winter_wheat
Sunflower_seed,葵花籽
Vicente_Aleixandre,维森特·阿莱克桑德雷
Eragrostis_tef,苔麸
Joseph_Bonanno,Joseph_Bonanno
Geelong,吉朗
Vaduz,瓦都茲
Papaya,番木瓜
Pea,豌豆
Eisenach,艾森纳赫
Pheasant,雉
Steller_sea_lion,北海狮
Aioli,Aioli
Pistacia_lentiscus,乳香黃連木
Common_carp,鯉
Cardamom,Cardamom
Black_cardamom,香豆蔻
Ortolan_bunting,圃鹀
Wilhelm_Röntgen,威廉·伦琴
René_Thom,勒内·托姆
Malcolm_Lowry,劳瑞 (英国)
Mayonnaise,蛋黃醬
Beefsteak,牛排
Steakhouse,Steakhouse
Tartar_sauce,塔塔醬
"Nelson,_New_Zealand",尼爾遜
Tannin,鞣质
Custard,奶黃
Soy_sauce,酱油
Trifle,乳脂鬆糕
Australian_cuisine,澳大利亞飲食
William_Wyler,威廉·惠勒
Prune,梅乾
Guinea_pig,豚鼠
Soybean,大豆
Edamame,毛豆
Dionysus,狄俄倪索斯
Bacon,煙肉
Lutefisk,鹼漬魚
Cashew,腰果
Mickey_Mantle,米奇·曼托
Corn_syrup,玉米糖漿
Tamale,塔马利 (食品)
Henri_de_Toulouse-Lautrec,亨利·德·土魯斯-羅特列克
Modest_Mussorgsky,莫杰斯特·彼得罗维奇·穆索尔斯基
André-Louis_Danjon,安德烈-路易·丹容
Lapin_Agile,狡兔酒吧
Moe_Szyslak,莫·希斯拉克
Édith_Piaf,艾迪特·皮雅芙
Triticale,黑小麥
Infant_formula,配方奶粉
Galangal,高良薑
Düsseldorf,杜塞尔多夫
Sea_urchin,海膽
Alfalfa,紫花苜蓿
Almdudler,Almdudler
Broccoli,西蘭花
Bracken,蕨屬
Samara_(fruit),翅果
Typha,香蒲属
Rose_water,玫瑰香水
Anzac_biscuit,澳新军团饼干
Pavlova_(food),巴甫洛娃蛋糕
Lamington,Lamington
Tzatziki,塔查吉基
Phil_Katz,菲尔·卡茨
Pope_Leo_IX,利奥九世
Grapefruit,葡萄柚
Prunus,李属
Chestnut,栗
American_chestnut,American_chestnut
Ketchup,番茄醬
John_Barrymore,約翰·巴里摩
Chinatown_(1974_film),唐人街 (電影)
Álava,阿拉瓦省
Chop_suey,李鸿章杂碎
Sophie_Dahl,Sophie_Dahl
Anise,茴芹
Douro,杜罗河
Rioja_(wine),Rioja_(wine)
Dahlia,大麗菊
Fruit_press,Fruit_press
Wensleydale_cheese,Wensleydale_cheese
Guarana,瓜拿納
Cenovis,Cenovis
Pistacia,黃連木屬
Sumac,盐肤木属
Ovos_Moles_de_Aveiro,Ovos_Moles_de_Aveiro
Delta_Works,三角洲工程
Eastern_Scheldt,Eastern_Scheldt
Bartolomé_de_las_Casas,巴托洛梅·德拉斯·卡薩斯
Twenty-first_Amendment_to_the_United_States_Constitution,美利坚合众国宪法第二十一条修正案
Lucy_Hayes,Lucy_Hayes
Maraschino_cherry,馬拉斯奇諾櫻桃
Ceviche,檸汁醃魚生
Wrigley_Building,箭牌大厦
Clove,丁香
Pa_amb_tomàquet,Pa_amb_tomàquet
Escalivada,Escalivada
Catalan_cuisine,加泰隆尼亞飲食
Dordrecht,多德雷赫特
Corned_beef,粗盐腌牛肉
Alfred_Dreyfus,阿尔弗雷德·德雷福斯
Liguria,利古里亚大区
Bell_pepper,菜椒
Kidney_bean,腰豆
Westerwald,韋斯特林山
Accessory_fruit,附果
Blackberry,黑莓
"Lafayette_County,_Florida",拉法葉縣 (佛羅里達州)
Saverne,萨韦尔讷
Frédéric_Auguste_Bartholdi,弗里德利·奥古斯特·巴特勒迪
Malvasia,Malvasia
Lilium_lancifolium,卷丹
Lilium,百合属
Yum!_Brands,百胜餐饮集团
Poutine,肉汁奶酪薯条
Achillea_millefolium,蓍
Chili_pepper,辣椒 (果实)
Pomegranate,石榴
Doughnut,甜甜圈
Hummus,鹰嘴豆泥
Walcheren,瓦尔赫伦岛
Porridge,餬
Cork_(material),Cork_(material)
"Dolphin_Inn,_Plymouth","Dolphin_Inn,_Plymouth"
Prospect_of_Whitby,Prospect_of_Whitby
The_Nutshell,The_Nutshell
The_Public_Enemy,国民公敌 (1931年电影)
Scarface_(1932_film),疤面
Chocolate_chip_cookie,巧克力片餅乾
Emu,鸸鹋
Tartaric_acid,酒石酸
English_cuisine,英格蘭飲食
Nolan_Bushnell,诺兰·布什内尔
Natalie_Wood,娜妲麗·華
Diego_Velázquez,委拉斯開茲
Jolt_Cola,Jolt_Cola
Sausage,香腸
Prunus_cerasus,欧洲酸樱桃
Longan,龙眼
Carambola,Carambola
Fruit_tree_forms,Fruit_tree_forms
Abruzzo,阿布鲁佐大区
Pinto_bean,Pinto_bean
Lychee,荔枝
Cantaloupe,Cantaloupe
Buckwheat,蕎麥
Botifarra,Botifarra
Kykeon,Kykeon
Mató,Mató
Calvados,Calvados
Luffa,丝瓜属
Mezcal,梅斯卡爾酒
Brian_Jones,布萊恩·瓊斯
Chazuke,茶泡飯
Alsatian_dialect,阿尔萨斯语
"Sonoma_County,_California",索诺马县 (加利福尼亚州)
Central_Valley_(California),中央谷地
Château_de_Chenonceau,舍農索城堡
Sesame,芝麻
Sandwich,三明治
Tragopogon,婆罗门参属
Lucky_Charms,Lucky_Charms
Breakfast_cereal,穀物片
Pita,皮塔饼
Cap'n_Crunch,Cap'n_Crunch
Melitta,Melitta
Clementine,克里曼丁红橘
Languedoc,隆格多克
La_Tomatina,番茄大战
Neville_Brand,Neville_Brand
Cognac,干邑白蘭地
Bopis,Bopis
Gravy,肉汁
The_Hershey_Company,好時
Lancaster_Caramel_Company,Lancaster_Caramel_Company
Milton_S._Hershey,Milton_S._Hershey
Canola,菜籽油
Languedoc-Roussillon,朗格多克-鲁西永
Bitterroot,Bitterroot
Kola_nut,Kola_nut
Head_cheese,水晶肴肉
Avena,燕麥屬
Corn_dolly,Corn_dolly
BLT,培根生菜番茄三明治
Date_palm,椰棗
Tresor,Tresor
Straw_marquetry,Straw_marquetry
Pico_de_gallo,Pico_de_gallo
Corn_tortilla,墨西哥薄饼
Cornucopia,丰裕之角
Oden,關東煮
Baden-Baden,巴登-巴登
Edam_cheese,埃德姆芝士
Tostada_(tortilla),Tostada_(tortilla)
Chilaquiles,Chilaquiles
Braunschweiger_(sausage),Braunschweiger_(sausage)
Tilapia,罗非鱼
Sweet_corn,Sweet_corn
Emmer,Emmer
Luis_Cernuda,路易斯·塞努达
Castlemaine_XXXX,Castlemaine_XXXX
Noodle,面条
Xocotl,Xocotl
Zea_(plant),玉蜀黍属
Corn_Laws,穀物法
Emmanuel_Levinas,伊曼紐爾·列維納斯
Albani_Brewery,Albani_Brewery
Pie,西式餡餅
Caffè,Caffè
"Cimarron_County,_Oklahoma",錫馬龍縣 (奧克拉荷馬州)
Alben_W._Barkley,阿尔本·W·巴克利
Eruca_sativa,芝麻菜
Johann_Heinrich_Lambert,约翰·海因里希·朗伯
Tourin,Tourin
Southall,紹索爾
Leffe,Leffe
Gnocchi,玉棋
Upton_Sinclair,厄普顿·辛克莱
"Webster_County,_Kentucky",韋伯斯特縣 (肯塔基州)
"Wayne_County,_Kentucky",韋恩縣 (肯塔基州)
"Trimble_County,_Kentucky",川波縣 (肯塔基州)
"Taylor_County,_Kentucky",泰勒縣 (肯塔基州)
"Russell_County,_Kentucky",拉塞爾縣 (肯塔基州)
"Rockcastle_County,_Kentucky",羅克卡斯爾縣 (肯塔基州)
"Robertson_County,_Kentucky",羅伯森縣 (肯塔基州)
"Powell_County,_Kentucky",鮑威爾縣 (肯塔基州)
"Ohio_County,_Kentucky",俄亥俄县 (肯塔基州)
"Morgan_County,_Kentucky",摩根縣 (肯塔基州)
"Monroe_County,_Kentucky",門羅縣 (肯塔基州)
"Metcalfe_County,_Kentucky",梅特卡夫縣 (肯塔基州)
"Menifee_County,_Kentucky",門尼菲縣 (肯塔基州)
"McLean_County,_Kentucky",麥克萊恩縣 (肯塔基州)
"McCreary_County,_Kentucky",麥克雷里縣 (肯塔基州)
"Martin_County,_Kentucky",馬丁縣 (肯塔基州)
"Livingston_County,_Kentucky",利文斯頓縣 (肯塔基州)
"Lincoln_County,_Kentucky",林肯縣 (肯塔基州)
"Leslie_County,_Kentucky",萊斯利縣 (肯塔基州)
"Lee_County,_Kentucky",李縣 (肯塔基州)
"Lawrence_County,_Kentucky",勞倫斯縣 (肯塔基州)
"LaRue_County,_Kentucky",拉魯縣 (肯塔基州)
"Knott_County,_Kentucky",諾特縣 (肯塔基州)
"Jackson_County,_Kentucky",杰克逊县 (肯塔基州)
"Hickman_County,_Kentucky",希克曼縣 (肯塔基州)
"Hart_County,_Kentucky",哈特縣 (肯塔基州)
"Hancock_County,_Kentucky",漢考克縣 (肯塔基州)
"Greenup_County,_Kentucky",格里納普縣 (肯塔基州)
"Green_County,_Kentucky",格林縣 (肯塔基州)
"Grayson_County,_Kentucky",格雷森縣 (肯塔基州)
"Garrard_County,_Kentucky",加勒德縣
"Fleming_County,_Kentucky",弗萊明縣 (肯塔基州)
"Estill_County,_Kentucky",埃斯蒂爾縣 (肯塔基州)
"Elliott_County,_Kentucky",埃利奧特縣 (肯塔基州)
"Edmonson_County,_Kentucky",埃德蒙森縣 (肯塔基州)
"Cumberland_County,_Kentucky",坎伯蘭縣 (肯塔基州)
"Crittenden_County,_Kentucky",克里坦登縣 (肯塔基州)
"Casey_County,_Kentucky",凱西縣 (肯塔基州)
"Carlisle_County,_Kentucky",卡萊爾縣 (肯塔基州)
"Butler_County,_Kentucky",巴特勒縣 (肯塔基州)
"Breckinridge_County,_Kentucky",布雷肯里奇縣 (肯塔基州)
"Breathitt_County,_Kentucky",布雷薩特縣 (肯塔基州)
"Bath_County,_Kentucky",巴斯縣 (肯塔基州)
"Barren_County,_Kentucky",巴倫縣 (肯塔基州)
"Ballard_County,_Kentucky",巴拉德縣 (肯塔基州)
"Allen_County,_Kentucky",艾倫縣 (肯塔基州)
"Adair_County,_Kentucky",亞代爾縣 (肯塔基州)
Camden_Town,康登鎮
Basilicata,巴西利卡塔大区
Norin_10_wheat,Norin_10_wheat
Myrrh,沒藥
Barley_wine,Barley_wine
Succinic_acid,琥珀酸
Benu,Benu
"Lonoke_County,_Arkansas",洛诺克县 (阿肯色州)
"Hot_Spring_County,_Arkansas",溫泉縣 (阿肯色州)
"Grant_County,_Arkansas",格蘭特縣 (阿肯色州)
Konstanz,康斯坦茨
Fruit_tree,果樹
"North_Beach,_San_Francisco",北滩 (旧金山)
Burgenland,布尔根兰州
Mannheim,曼海姆
Soma_(drink),蘇摩
Perry,Perry
Berney_Arms,Berney_Arms
Dim_sum,廣式點心
Chocolate_bar,巧克力棒
"Chinatown,_Manhattan",曼哈頓華埠
Duisburg,杜伊斯堡
Woman's_Christian_Temperance_Union,Woman's_Christian_Temperance_Union
Dolly_Madison,Dolly_Madison
Avon_Valley_National_Park,Avon_Valley_National_Park
Badgingarra_National_Park,Badgingarra_National_Park
Drovers_Cave_National_Park,Drovers_Cave_National_Park
Gloucester_National_Park,Gloucester_National_Park
Lesueur_National_Park,Lesueur_National_Park
Nambung_National_Park,Nambung_National_Park
Sopron,肖普朗
Julia_Louis-Dreyfus,茱莉亚·路易斯-德瑞弗斯
Thatching,Thatching
Theobald_Mathew_(temperance_reformer),Theobald_Mathew_(temperance_reformer)
Karlsruhe,卡尔斯鲁厄
Buffalo_wing,水牛城辣雞翅
Maranta_arundinacea,Maranta_arundinacea
Georg_Simmel,格奥尔格·齐美尔
"Livermore,_California",利佛摩 (加利福尼亞州)
"Healdsburg,_California",希尔兹堡 (加利福尼亚州)
"Helen,_Georgia","Helen,_Georgia"
"Villa_Grove,_Illinois","Villa_Grove,_Illinois"
Twinkie,Twinkie
Old_HB,Old_HB
Hannah_and_Her_Sisters,汉娜姐妹
Raisin,葡萄乾
Noord-Beveland,Noord-Beveland
Schouwen-Duiveland,Schouwen-Duiveland
Tholen,Tholen
Rozenburg,Rozenburg
"Saddle_River,_New_Jersey","Saddle_River,_New_Jersey"
"Delanco_Township,_New_Jersey","Delanco_Township,_New_Jersey"
"Pemberton,_New_Jersey","Pemberton,_New_Jersey"
"Riverton,_New_Jersey","Riverton,_New_Jersey"
"Audubon_Park,_New_Jersey","Audubon_Park,_New_Jersey"
"Collingswood,_New_Jersey","Collingswood,_New_Jersey"
"Haddon_Heights,_New_Jersey","Haddon_Heights,_New_Jersey"
"Haddonfield,_New_Jersey","Haddonfield,_New_Jersey"
"Cape_May_Point,_New_Jersey","Cape_May_Point,_New_Jersey"
"Ocean_City,_New_Jersey","Ocean_City,_New_Jersey"
"Wildwood_Crest,_New_Jersey","Wildwood_Crest,_New_Jersey"
"Downe_Township,_New_Jersey","Downe_Township,_New_Jersey"
"Lawrence_Township,_Cumberland_County,_New_Jersey","Lawrence_Township,_Cumberland_County,_New_Jersey"
"Maurice_River_Township,_New_Jersey","Maurice_River_Township,_New_Jersey"
